Pipeline,:class:`BNCI2014_008`,:class:`BNCI2014_009`,:class:`BNCI2015_003`,:class:`BI2012`,:class:`BI2013a`,:class:`BI2014a`,:class:`BI2014b`,:class:`BI2015a`,:class:`BI2015b`,:class:`Cattan2019_VR`,:class:`EPFLP300`,:class:`Huebner2017`,:class:`Huebner2018`,:class:`Lee2019_ERP`,:class:`Sosulski2019`
`ERPCov+MDM`_,74.30±9.77,81.16±10.13,76.79±10.95,78.77±10.32,80.59±9.36,71.62±11.17,78.57±12.36,80.02±10.07,75.04±15.85,80.76±10.07,71.97±10.88,94.47±8.26,95.15±3.72,74.43±13.26,68.17±13.59
`ERPCov(svd_n=4)+MDM`_,75.42±9.91,84.52±8.83,76.93±11.26,79.02±10.53,82.07±8.46,72.11±11.64,76.48±12.83,77.92±10.33,77.09±15.81,80.67±9.47,71.44±10.20,96.21±6.50,96.61±1.89,82.47±12.56,70.63±13.79
`XDAWN+LDA`_,82.24±5.26,64.03±3.91,78.62±7.19,64.41±4.14,76.74±7.16,66.60±7.54,83.73±10.62,76.02±10.46,77.22±13.73,67.16±6.11,62.98±5.38,97.74±2.84,97.54±1.58,96.45±3.93,67.49±7.44
`XDAWNCov+MDM`_,77.62±9.81,92.04±5.97,83.08±7.55,88.22±5.90,90.97±5.52,80.88±11.01,91.58±10.02,92.57±5.03,83.48±12.05,88.53±7.34,83.20±9.05,98.07±2.09,97.78±1.04,97.70±2.68,86.07±7.15
`XDAWNCov+TS+SVM`_,85.61±4.43,93.43±5.11,82.95±8.57,90.99±4.79,92.71±4.92,85.77±9.75,91.88±9.94,93.05±4.98,84.56±12.09,90.68±6.29,84.29±8.53,98.69±1.78,98.47±0.97,98.41±2.03,87.28±6.92
