,Score,Dataset,Subject,Pipeline,Time
0,0.8591666666666666,Alex Motor Imagery,1.0,MDM,0.4339730739593506
1,0.8316666666666667,Alex Motor Imagery,2.0,MDM,0.41957783699035645
2,0.6575,Alex Motor Imagery,3.0,MDM,0.48634791374206543
3,0.8016666666666667,Alex Motor Imagery,4.0,MDM,0.4107961654663086
4,0.5133333333333334,Alex Motor Imagery,5.0,MDM,0.4018840789794922
5,1.0,Alex Motor Imagery,6.0,MDM,0.40367603302001953
6,0.9733333333333334,Alex Motor Imagery,7.0,MDM,0.4246389865875244
7,0.8625,Alex Motor Imagery,8.0,MDM,0.41924500465393066
