,Score,Dataset,Subject,Pipeline,Time
0,0.9233333333333335,Alex Motor Imagery,1.0,TS,0.48468804359436035
1,0.8958333333333334,Alex Motor Imagery,2.0,TS,0.4341280460357666
2,0.9375,Alex Motor Imagery,3.0,TS,0.46896791458129883
3,0.8533333333333333,Alex Motor Imagery,4.0,TS,0.43704700469970703
4,0.605,Alex Motor Imagery,5.0,TS,0.4221479892730713
5,1.0,Alex Motor Imagery,6.0,TS,0.44811081886291504
6,1.0,Alex Motor Imagery,7.0,TS,0.4510769844055176
7,0.8875,Alex Motor Imagery,8.0,TS,0.4582550525665283
