,Score,Dataset,Subject,Pipeline,Time
0,0.755,Alex Motor Imagery,1.0,CSP+LDA,0.10957622528076172
1,0.9333333333333333,Alex Motor Imagery,2.0,CSP+LDA,0.12393903732299805
2,0.755,Alex Motor Imagery,3.0,CSP+LDA,0.12121200561523438
3,0.5808333333333333,Alex Motor Imagery,4.0,CSP+LDA,0.11849403381347656
4,0.4875,Alex Motor Imagery,5.0,CSP+LDA,0.11734414100646973
5,1.0,Alex Motor Imagery,6.0,CSP+LDA,0.14716696739196777
6,0.9866666666666667,Alex Motor Imagery,7.0,CSP+LDA,0.11211895942687988
7,0.7816666666666666,Alex Motor Imagery,8.0,CSP+LDA,0.11766791343688965
