,Score,Dataset,Subject,Pipeline,Time
0,0.8099999999999999,Openvibe Motor Imagery,1.0,MDM,0.33743739128112793
1,0.8583333333333334,Openvibe Motor Imagery,2.0,MDM,0.3394167423248291
2,0.8308333333333333,Openvibe Motor Imagery,3.0,MDM,0.3408362865447998
3,0.7825,Openvibe Motor Imagery,4.0,MDM,0.34011387825012207
4,0.7374999999999999,Openvibe Motor Imagery,5.0,MDM,0.3105888366699219
5,0.9216666666666666,Openvibe Motor Imagery,6.0,MDM,0.3202052116394043
6,0.8458333333333334,Openvibe Motor Imagery,7.0,MDM,0.31564879417419434
7,0.6708333333333333,Openvibe Motor Imagery,8.0,MDM,0.3263239860534668
8,0.9466666666666667,Openvibe Motor Imagery,9.0,MDM,0.3353419303894043
9,0.74,Openvibe Motor Imagery,10.0,MDM,0.3093099594116211
10,0.9108333333333334,Openvibe Motor Imagery,11.0,MDM,0.35052919387817383
11,0.7875,Openvibe Motor Imagery,12.0,MDM,0.3217771053314209
12,0.9349999999999999,Openvibe Motor Imagery,13.0,MDM,0.35909342765808105
13,0.8895238095238096,Openvibe Motor Imagery,14.0,MDM,0.3160722255706787
14,0.7797619047619048,Physionet Motor Imagery,1.0,MDM,3.619265556335449
15,0.880952380952381,Physionet Motor Imagery,2.0,MDM,2.8438477516174316
16,0.5297619047619048,Physionet Motor Imagery,3.0,MDM,6.062576055526733
17,0.7916666666666666,Physionet Motor Imagery,4.0,MDM,4.150975942611694
18,0.5833333333333334,Physionet Motor Imagery,5.0,MDM,4.860454797744751
19,0.5595238095238095,Physionet Motor Imagery,6.0,MDM,4.840768575668335
20,0.9583333333333334,Physionet Motor Imagery,7.0,MDM,7.314826726913452
21,0.4880952380952381,Physionet Motor Imagery,8.0,MDM,6.163153409957886
22,0.613095238095238,Physionet Motor Imagery,9.0,MDM,4.659037828445435
23,0.6845238095238094,Physionet Motor Imagery,10.0,MDM,6.15067720413208
24,0.6785714285714285,Physionet Motor Imagery,11.0,MDM,3.991288423538208
25,0.5773809523809524,Physionet Motor Imagery,12.0,MDM,6.127118110656738
26,0.6964285714285713,Physionet Motor Imagery,13.0,MDM,5.150767803192139
27,0.6130952380952381,Physionet Motor Imagery,14.0,MDM,3.173677682876587
28,0.7857142857142857,Physionet Motor Imagery,15.0,MDM,4.192471504211426
29,0.6190476190476191,Physionet Motor Imagery,16.0,MDM,3.845133066177368
30,0.5476190476190476,Physionet Motor Imagery,17.0,MDM,6.564440965652466
31,0.43452380952380953,Physionet Motor Imagery,18.0,MDM,2.892996072769165
32,0.375,Physionet Motor Imagery,19.0,MDM,4.601517915725708
33,0.6964285714285715,Physionet Motor Imagery,20.0,MDM,4.75370979309082
34,0.5059523809523809,Physionet Motor Imagery,21.0,MDM,10.998140096664429
35,0.7857142857142857,Physionet Motor Imagery,22.0,MDM,2.631075143814087
36,0.625,Physionet Motor Imagery,23.0,MDM,5.918412208557129
37,0.4702380952380952,Physionet Motor Imagery,24.0,MDM,6.498230218887329
38,0.7261904761904762,Physionet Motor Imagery,25.0,MDM,2.726548671722412
39,0.75,Physionet Motor Imagery,26.0,MDM,3.9533982276916504
40,0.6309523809523809,Physionet Motor Imagery,27.0,MDM,4.257065534591675
41,0.48214285714285704,Physionet Motor Imagery,28.0,MDM,5.3469557762146
42,0.9642857142857143,Physionet Motor Imagery,29.0,MDM,4.49674654006958
43,0.5,Physionet Motor Imagery,30.0,MDM,3.755401134490967
44,0.8154761904761906,Physionet Motor Imagery,31.0,MDM,7.777973651885986
45,0.8690476190476191,Physionet Motor Imagery,32.0,MDM,2.8017303943634033
46,0.7857142857142857,Physionet Motor Imagery,33.0,MDM,4.06230092048645
47,0.7976190476190478,Physionet Motor Imagery,34.0,MDM,2.3805735111236572
48,0.7083333333333334,Physionet Motor Imagery,35.0,MDM,2.401944398880005
49,0.5892857142857143,Physionet Motor Imagery,36.0,MDM,2.390840530395508
50,0.6964285714285713,Physionet Motor Imagery,37.0,MDM,3.1255412101745605
51,0.6190476190476191,Physionet Motor Imagery,38.0,MDM,2.8965392112731934
52,0.7321428571428571,Physionet Motor Imagery,39.0,MDM,3.157191753387451
53,0.45238095238095233,Physionet Motor Imagery,40.0,MDM,2.7838099002838135
54,0.5714285714285714,Physionet Motor Imagery,41.0,MDM,4.5793726444244385
55,0.880952380952381,Physionet Motor Imagery,42.0,MDM,2.4449172019958496
56,0.6726190476190476,Physionet Motor Imagery,43.0,MDM,2.5821611881256104
57,0.6369047619047619,Physionet Motor Imagery,44.0,MDM,3.290473461151123
58,0.6845238095238094,Physionet Motor Imagery,45.0,MDM,2.2811226844787598
59,0.6607142857142857,Physionet Motor Imagery,46.0,MDM,2.266329288482666
60,0.6071428571428571,Physionet Motor Imagery,47.0,MDM,2.180835008621216
61,0.7261904761904762,Physionet Motor Imagery,48.0,MDM,3.5648062229156494
62,0.7976190476190476,Physionet Motor Imagery,49.0,MDM,4.459217071533203
63,0.6904761904761906,Physionet Motor Imagery,50.0,MDM,2.801349639892578
64,0.5773809523809523,Physionet Motor Imagery,51.0,MDM,3.2807955741882324
65,0.7738095238095238,Physionet Motor Imagery,52.0,MDM,2.38447642326355
66,0.9285714285714285,Physionet Motor Imagery,53.0,MDM,2.8513083457946777
67,0.7619047619047619,Physionet Motor Imagery,54.0,MDM,2.40488338470459
68,0.8452380952380952,Physionet Motor Imagery,55.0,MDM,3.8174281120300293
69,0.9345238095238096,Physionet Motor Imagery,56.0,MDM,2.6042137145996094
70,0.5952380952380952,Physionet Motor Imagery,57.0,MDM,2.9410014152526855
